ID, Accommodates:, Bathrooms:, Bedrooms:, Beds:, limpieza, extra, finde
15225704, Error,,,,,,
15282709, Error,,,,,,
15309229, Error,,,,,,
15418621, Error,,,,,,
15436654, Error,,,,,,
15585013, Error,,,,,,
15670538, Error,,,,,,
15670329, Error,,,,,,
15719070, Error,,,,,,
15753686, Error,,,,,,
15786795, Error,,,,,,
15864637, Error,,,,,,
15870777, Error,,,,,,
16001580, Error,,,,,,
16053995, Error,,,,,,
16108587, Error,,,,,,
16158229, Error,,,,,,
16156816, Error,,,,,,
16184154, Error,,,,,,
16189604, Error,,,,,,
16203993, Error,,,,,,
16213190, Error,,,,,,
16240984, Error,,,,,,
16334456, Error,,,,,,
16341317, 8, 1, 2, 5, €20, €10 / night after 3 guests, 
16344744, Error,,,,,,
16346547, Error,,,,,,
16378923, Error,,,,,,
16416312, Error,,,,,,
16420119, Error,,,,,,
16577153, Error,,,,,,
16613337, Error,,,,,,
16690299, Error,,,,,,
16727774, Error,,,,,,
16733515, Error,,,,,,
16778908, Error,,,,,,
16836835, Error,,,,,,
16848996, Error,,,,,,
16924868, Error,,,,,,
16994667, Error,,,,,,
17012997, Error,,,,,,
17035380, Error,,,,,,
17070774, Error,,,,,,
17136490, Error,,,,,,
17209636, Error,,,,,,
17233813, Error,,,,,,
17343820, Error,,,,,,
17351705, Error,,,,,,
17398344, Error,,,,,,
17403781, Error,,,,,,
17411760, Error,,,,,,
17417070, Error,,,,,,
17418414, Error,,,,,,
17419183, Error,,,,,,
17427460, Error,,,,,,
17445348, Error,,,,,,
17495464, Error,,,,,,
17522628, Error,,,,,,
17558882, Error,,,,,,
17559740, Error,,,,,,
17571645, Error,,,,,,
17585332, Error,,,,,,
17632476, Error,,,,,,
17652593, Error,,,,,,
17664367, Error,,,,,,
17697135, Error,,,,,,
17698381, Error,,,,,,
17733658, Error,,,,,,
17733210, Error,,,,,,
17775908, Error,,,,,,
17798253, Error,,,,,,
17816892, Error,,,,,,
17825691, Error,,,,,,
17828347, Error,,,,,,
17836622, Error,,,,,,
17839803, Error,,,,,,
17854921, Error,,,,,,
17852217, Error,,,,,,
17859267, Error,,,,,,
17855350, Error,,,,,,
17871104, Error,,,,,,
17877231, Error,,,,,,
17879463, Error,,,,,,
17892273, Error,,,,,,
17924600, Error,,,,,,
17942318, Error,,,,,,
17962214, Error,,,,,,
17971025, Error,,,,,,
17988220, Error,,,,,,
17985093, Error,,,,,,
17986014, Error,,,,,,
17990267, Error,,,,,,
17990523, Error,,,,,,
17999903, Error,,,,,,
18012942, Error,,,,,,
18014504, Error,,,,,,
18014376, Error,,,,,,
18016442, Error,,,,,,
18019984, Error,,,,,,
18033753, Error,,,,,,
18047720, Error,,,,,,
18046396, Error,,,,,,
18052615, Error,,,,,,
18059798, Error,,,,,,
18066405, Error,,,,,,
18072483, Error,,,,,,
18070650, Error,,,,,,
18077039, 5, 1, 2, 2, €20, €15 / night after 3 guests, 
18081808, Error,,,,,,
18081012, Error,,,,,,
18082178, Error,,,,,,
18088637, Error,,,,,,
18091917, Error,,,,,,
18093274, Error,,,,,,
18099192, Error,,,,,,
18099144, Error,,,,,,
18108119, Error,,,,,,
18119865, Error,,,,,,
18116499, Error,,,,,,
18138185, Error,,,,,,
18138669, Error,,,,,,
18136567, Error,,,,,,
18145661, Error,,,,,,
18146362, Error,,,,,,
18177894, Error,,,,,,
18291571, Error,,,,,,
18319780, Error,,,,,,
18343643, 1, 1, 1, 1, , , 
18374955, Error,,,,,,
18389790, Error,,,,,,
18385744, Error,,,,,,
18455460, Error,,,,,,
18455491, Error,,,,,,
18517636, Error,,,,,,
18516813, Error,,,,,,
